Comment,Sentiment
"The reason for the defeat of Morocco is another angle of the players, the license is the party of their clubs, the pressure to go to Cannes, they really came at the end of the team's reputation.",0
"The peace, mercy and blessings of God are over you.",0
"The reasons for our exclusion are the absence of the offensive event, wasting goals near the goal, in contrast, players who have historically passed the team scored the goals of the operations box as a distance, such as Timomi, Al -Bayaz, Hajji, Al -Mukhtari, and Al -Dawudi, there are players Kaziash, as well as Hakimi players who are called Rakraki who are mastering the scoring as a Delicious, mon gris et Batna, le point du niveau, le niveau intermédiaire, et j'espère que le rakraki examinera l'ensemble des journaux",0
"Al -Rakraki must be rejected and research is an alternative, because Walid's psychology has become shameful and not subject to giving.",0
"I think it will be the most suitable for the next step, a solid team that deserves an experienced coach",0
"Excuse me, entered the skirmishes of the Arab player in Congo.The objectives are uncompromising.Decisions listen to the sage of",0
"The coach, the African effort, is strong.The speech is over",0
"The defeat of the Moroccan national team, the player with all the elements, the match in Zambia, despite the Moroccan national team, qualified for the match in Zambia, so that the Côte d'Ivoire team has qualified.",0
The national team is an equation of a solution.Other things have to concentrate football,0
A new addition will be presented by Rakraki to the national team.,0
"A defect, the defect falls.We live in the 20th century, God is the majority",0
"The reasons for the defeat are clear, the national team missed the national sense of the correspondent, which was led by the hostile team, which is hostile to its regime for our territorial integrity, the playing spirit of players.On the contrary, we were humiliating, so that the coach of Rakraki shows the courage to submit his resignation.",0
"The president of the university will be held responsible? Fans of official football? Do you forget the national team, the players will be spent for the Dirham University ??? The Messenger is the development of Moroccan football ??",0
"The main task of the coach, script planning, has the right to shout to motivate professional players.They need a supplication of cries.",0
"The team is the need of the Italian coach, the Italian school",0
It is a spoiled team of elongation funds.,0
"The reason for exclusion is the negative things that surrounded the team, speaking to the Egyptian district, and the Congo player dragged the Rakraki side and the last speech, while playing for the Arabs and his father, and the Arabs forgot the street with joy in Morocco.",0
The best life goes with the desire to shoot a strong day of visitors and to expel your position.,0
The World Cup showed the preparation of the veteran coach Waheed Khalilzic Rakraki.,0
"Uh, Walid, cross trainer, defeated Côte d'Ivoire, just watch Amounta, his matches are standing.Your private is Harimi.",0
"The coaches openly planned, including a magic solution to defeat the other coach of South Africa.He played Rakraki's psyche and said he preserves the weakness of the Rakraki team for the press to justify his victory and destabilize the confidence of Al -Rakhari.Al -Rakraki to speak to a goal sniper, and he said that the Qatar group had met a flag that lived for the defense throughout the World Cup competition because it is aware of the absence of a scorer. End the realization of the AL -Kan teams, and not to fill the solution of its blades, the local, mental and structural player, and the same spirit is a competitiveness.Another philosophy of the bear is just a marketing product",0
Al -Rakraki is a sporting spirit to submit its resignation immediately the exclusion of tremendous possibilities.He put his behavior and the distinguished players were the most important opportunity to win the African Cup.,0
"I watched the World Cup and I am enthusiastic about any victory that is equivalent to avoiding any joke, successive matches change something that has become a great confidence in the team game and the beautiful objectives of the degree of defeat in the semi-final of the World Cup, the title of world champion, of the beginner of the Arcord Arc.",0
Al -Rakraki and his technical teams leave what he gives to the real responsibility national team,0
"Audi and Ashna Adel Ramzi Al -Bakour Shuquishovo Li You are a national and mentally professional technique and knows Africa well and they start 50% of current players. Dieu is not enough for God, and yes, the agent",0
"The reason for the Talisman is the arrogance of the coach, some of the faults and the level of the goalkeeper.",0
"The door of the insult becomes a symbolic assistant of an amateur coach, such as Rirk Rikkiri, perhaps the opposite law.",0
Stronging Mazraoui is a player who lost the preparation,0
It's very simple.,0
"My opinion of us likes to excel a proud achievement of God as a compression of certain considerations that I wonder the Moroccan national team qualified for the role. Even in the World Cup, the big teams play with an economy which guarantees a qualification for the role? The only explanation of the safeguard of our Ivorian friends by excluding the Zambians supports the separatists for an explanation",0
"The reason for the defeat of Rarkaki has been lost in the reflection of criminal sanctions, striking penalties.Morocco has played in all Arabs.The match in Zambia, avoiding defeat.",0
"The mistakes must be arrested, Morocco, South Africa, have committed previous interviews.Standing the trainer's plans for meetings because they have become exhibited to coaches, passionate players.",1
Al -Rarkaki services must be distributed.,1
"Mr. Laqja, the coach, is held responsible for a strategic approach to the approval of the president of the university, and they must therefore both be detained",1
"Al -Rakraki to hold the man responsible for his efforts to shine the national team, writing the tournament.I see the decision to hold Al -Rakraki responsible",1
"What is the method that will be taken to take into account of Waldlamada, the coaches are held responsible.",1
"To know Mr. Fawzi Lakja, the majority of the Moroccan people, the Walid Al -Rakraki coach and all the members of the technical staff have led the national team and the national because he is the country's son, the only note, the only note, the coach and the players must be concerned and their objective is the ball and the preservation of calm and well-being must be concerned and their concentration is the ball and the preservation of calmconcentration is the ball and the preservation of calm and well-being must be concerned and their objective is the ball and the preservation and the good of preservation and concern and benevolence is the ball and the preservation of calm and well-being must be concerned and their objective is the ball and the preservation and the calle and bilt",1
Mr. Aref his money and he does not need to be held responsible.,1
The university must work to strengthen the national championship and create players who have the incitement to win the victories,1
"Exclusion is the hand of Shi Shi, the country",1
Previously the çons,1
"The country's responsibility is of ordination of its actions, its appearance, its yields and its achievements.",1
"The reason for our defeat is my personal opinion.The national team offers an explicit attacker of seizure of opportunities, God wants, to win our next ally, the members of the national team and the voter Walid Al -Rarkaki",1
"We ask the president of the Royal Moroccan Football Football Federation to forget the African African Cup for the year 2025, we only have the complete confrontation of the president of the university and national vitality with the slogan of the magnificent future.",1
Comments are your estimated site.Most Moroccans remain Rakraki.,1
"Walid Al -Rakraki is held responsible for each great coach, deals with great achievements.We forget Walid.",1
It is not a responsibility for an investigation.,1
Moroccans quickly forget the great historical success.,1
"The opportunity must be given to Rakraki and urged her to correct the errors and move away from the principle of emotion, from the national team for all people, he must therefore have the opportunity to bring the shirt to those who deserve and for those who are ready, we wanted to succeed and move forward, to change the advantages of the driving coach something that we will abandon the scenario.",1
"Special commentators know Rakraki accounts, I don't say responsibility.",1
Please keep the goalkeeper Bono Ziash Hakimi.,1
"The commentary 17 Rakraki is difficult and shaken as if it would face Brazil.Do you really think Brazil was triumphed? I forgot to forget? We have become the neighbors adoring the ball? Al -Rakraki is a human being, the Djinn is the Djinn with our Master Solomon, your money, do we all lose in the case of Al -Taraji, his companions?",1
"The Moroccan team needs the top scorer of the German method of Garthath Muller, the right place and the appropriate moment, the sixth sense is capable of creating the objective, however, the top scorer of the tournament will participate in the national team supposed to be supposed to compete in the national professional championship, the least who wants to join the national team 1",1
"Rakraki, a symbol of Moroccan football symbols",1
"I think, and, reflecting the comments, the responsibility means the interview and the reprimand, just the president of the university and the rakraki with him, extending the state of the Moroccan national team to exclude, we say that the waste of hidden humiliation, the question, therefore the only exclusion of the catastrophe of conceptual exclusion is a weak team, the golden square, the prudence for the plan for the plan for the plan for the plan for the plan for the plan for the plan for the plan for the plan for the plan for the planPlan is the plan that has the plan that has the plan that has the plan exposed to those who understand the tactical tactic? I mean, Galaa will discuss the reasons for exclusion, the objective is to carry the shirt of the national team, it is necessary to lend physically and technically, of favoritism, friendships and belonging.",1
"You must endure the errors, the team signed and the bad correction of Al -Rakraki, the first class coach.We want the departure of Al -Rakrak",1
"You want to keep a coach with a lot of national team, a foreign coach, you dared to be held responsible for what Moroccan coach wants to hold him responsible, despite the succession of foreign coaches, the training of the national team.",1
Al -Rakraki gave us the world.The realization of dreams is capable of devoting us to the African African Cup.Patience,1
"A session to renew confidence, Walid, change the assistant crew.A sure role.",1
"The national voter, Walid Al -Rakraki, must be restored, must be reprimanded and calculated by affected elements.The elements must be examined.We expired.We ask the national voter to remove emotion and rigor.The choice.We ask opponents Marwan Saadane, Muhammad Fawazir, Murad Patna and Al -Rahimi",1
"A meeting session, coach of Walid, Morocco, the World Cup, America plays the World Cup in Morocco, Walid, broadcasts Rasu, the national team.",1
"We have enough to criticize, the Moroccan national team is an excellent team, the Kan fell into a stranger, I did a stronger team from us a lot of tumult, we must encourage our team in order to correct the errors and the call for tenders continues to see the defeat of Belgium, the first Lamb in the world at that time, two objectives for the Zero World Cup?",1
